TEAM,YEAR,FTM,FTA,FT_PCT
Rider,2014,569,778,.731
Robert Morris,2014,542,745,.728
Rutgers,2014,502,711,.706
Sacramento State,2014,417,575,.725
Sacred Heart,2014,449,655,.685
Saint Francis (PA),2014,346,539,.642
Saint Joseph's NCAA,2014,503,780,.645
Saint Louis NCAA,2014,526,755,.697
Saint Mary's (CA),2014,618,873,.708
Saint Peter's,2014,480,682,.704
Sam Houston,2014,647,969,.668
Samford,2014,468,692,.676
San Diego,2014,505,726,.696
San Diego State NCAA,2014,598,902,.663
San Francisco,2014,523,807,.648
San Jose State,2014,411,569,.722
Santa Clara,2014,516,704,.733
Savannah State,2014,425,652,.652
Seattle,2014,397,609,.652
Seton Hall,2014,558,774,.721
Siena,2014,650,903,.720
South Alabama,2014,463,679,.682
South Carolina,2014,598,847,.706
South Carolina State,2014,383,587,.652
South Carolina Upstate,2014,502,744,.675
South Dakota,2014,467,622,.751
South Dakota State,2014,568,751,.756
South Florida,2014,501,757,.662
Southeast Missouri State,2014,514,743,.692
Southeastern Louisiana,2014,453,650,.697
Southern,2014,444,718,.618
Southern California,2014,510,761,.670
Southern Illinois,2014,498,741,.672
SIU Edwardsville,2014,429,645,.665
Southern Methodist,2014,579,848,.683
Southern Mississippi,2014,649,956,.679
Southern Utah,2014,397,576,.689
St. Bonaventure,2014,554,774,.716
St. Francis (NY),2014,450,659,.683
St. John's (NY),2014,505,722,.699
Stanford NCAA,2014,616,877,.702
Stephen F. Austin NCAA,2014,569,800,.711
Stetson,2014,391,590,.663
Stony Brook,2014,522,725,.720
Syracuse NCAA,2014,506,715,.708
TCU,2014,519,709,.732
Temple,2014,434,614,.707
Tennessee NCAA,2014,613,852,.719
Tennessee State,2014,500,714,.700
Tennessee Tech,2014,547,808,.677
Tennessee-Martin,2014,502,692,.725
Texas NCAA,2014,610,909,.671
Texas A&M,2014,454,707,.642
Texas A&M-Corpus Christi,2014,528,796,.663
Texas Southern NCAA,2014,653,910,.718
Texas State,2014,364,549,.663
Texas Tech,2014,484,665,.728
Texas-Rio Grande Valley,2014,436,660,.661
The Citadel,2014,473,655,.722
Toledo,2014,643,887,.725
Towson,2014,686,998,.687
Troy,2014,496,750,.661
Tulane,2014,571,823,.694
Tulsa NCAA,2014,604,894,.676
UAB,2014,508,772,.658
UC Davis,2014,439,631,.696
UC Irvine,2014,453,707,.641
UC Riverside,2014,499,711,.702
UC Santa Barbara,2014,465,657,.708
UCF,2014,432,704,.614
UCLA NCAA,2014,628,839,.749
UNC Asheville,2014,591,793,.745
UNC Greensboro,2014,484,704,.688
UNC Wilmington,2014,397,606,.655
UT Arlington,2014,554,785,.706
Utah,2014,537,723,.743
Utah State,2014,431,587,.734
Utah Valley,2014,491,650,.755
UTEP,2014,602,880,.684
UTSA,2014,577,836,.690
Valparaiso,2014,580,790,.734
Vanderbilt,2014,433,658,.658
Vermont,2014,569,785,.725
Villanova NCAA,2014,607,848,.716
Virginia NCAA,2014,533,792,.673
Virginia Commonwealth NCAA,2014,520,772,.674
VMI,2014,600,842,.713
Virginia Tech,2014,405,625,.648
Wagner,2014,496,679,.730
Wake Forest,2014,566,871,.650
Washington,2014,527,695,.758
Washington State,2014,392,596,.658
Weber State NCAA,2014,568,767,.741
West Virginia,2014,556,771,.721
Western Carolina,2014,540,754,.716
Western Illinois,2014,362,545,.664
Western Kentucky,2014,495,755,.656
Western Michigan NCAA,2014,620,856,.724
Wichita State NCAA,2014,664,916,.725
William & Mary,2014,463,667,.694
Winthrop,2014,528,741,.713
Wisconsin NCAA,2014,642,861,.746
Wofford NCAA,2014,393,592,.664
Wright State,2014,565,765,.739
Abilene Christian,2015,354,487,.727
Air Force,2015,321,487,.659
Akron,2015,406,617,.658
Alabama,2015,539,752,.717
Alabama A&M,2015,415,643,.645
Alabama State,2015,396,609,.650
Albany (NY) NCAA,2015,493,650,.758
Alcorn State,2015,463,704,.658
American,2015,359,509,.705
Appalachian State,2015,381,537,.709
Arizona NCAA,2015,700,974,.719
Arizona State,2015,511,766,.667
Arkansas NCAA,2015,593,819,.724
Arkansas State,2015,372,530,.702
Arkansas-Pine Bluff,2015,397,584,.680
Army,2015,379,557,.680
Auburn,2015,606,910,.666
Austin Peay,2015,456,685,.666
Ball State,2015,389,561,.693
Baylor NCAA,2015,487,723,.674
Belmont NCAA,2015,405,585,.692
Bethune-Cookman,2015,482,672,.717
Binghamton,2015,408,618,.660
Boise State NCAA,2015,431,591,.729
Boston College,2015,412,584,.705
Boston University,2015,469,674,.696
Bowling Green State,2015,420,588,.714
Bradley,2015,425,641,.663
Brigham Young NCAA,2015,679,886,.766
Brown,2015,501,727,.689
Bryant,2015,414,552,.750
Bucknell,2015,506,726,.697
Buffalo NCAA,2015,589,819,.719
Butler NCAA,2015,526,767,.686
Cal Poly,2015,346,506,.684
Cal State Bakersfield,2015,484,669,.723
Cal State Fullerton,2015,428,623,.687
Cal State Northridge,2015,558,729,.765
California,2015,368,567,.649
Campbell,2015,373,597,.625
Canisius,2015,429,596,.720
Central Arkansas,2015,406,599,.678
Central Connecticut State,2015,340,479,.710
Central Michigan,2015,486,670,.725
Charleston Southern,2015,435,633,.687
Charlotte,2015,445,685,.650
Chattanooga,2015,522,762,.685
Chicago State,2015,343,514,.667
Cincinnati NCAA,2015,424,633,.670
Clemson,2015,395,579,.682
Cleveland State,2015,395,575,.687
Coastal Carolina NCAA,2015,538,780,.690
Colgate,2015,316,453,.698
College of Charleston,2015,365,553,.660
Colorado,2015,542,760,.713
Colorado State,2015,535,794,.674
Columbia,2015,298,416,.716
Connecticut,2015,417,590,.707
Coppin State,2015,408,590,.692
Cornell,2015,457,610,.749
Creighton,2015,467,644,.725
Dartmouth,2015,348,539,.646
Davidson NCAA,2015,390,553,.705
Dayton NCAA,2015,580,846,.686
Delaware,2015,430,627,.686
Delaware State,2015,475,672,.707
Denver,2015,327,427,.766
DePaul,2015,458,635,.721
Detroit Mercy,2015,423,619,.683
Drake,2015,370,482,.768
Drexel,2015,383,514,.745
Duke NCAA,2015,610,873,.699
Duquesne,2015,362,577,.627
East Carolina,2015,383,563,.680
East Tennessee State,2015,477,661,.722
Eastern Illinois,2015,364,558,.652
Eastern Kentucky,2015,438,562,.779
Eastern Michigan,2015,587,817,.718
Eastern Washington NCAA,2015,522,719,.726
Elon,2015,475,695,.683
Evansville,2015,601,803,.748
Fairfield,2015,419,585,.716
FDU,2015,386,557,.693
Florida,2015,351,553,.635
Florida A&M,2015,368,567,.649
Florida Atlantic,2015,301,447,.673
Florida Gulf Coast,2015,399,603,.662
Florida International,2015,411,647,.635
Florida State,2015,524,783,.669
Fordham,2015,406,559,.726
Fresno State,2015,457,662,.690
Furman,2015,480,717,.669
Gardner-Webb,2015,513,767,.669
George Mason,2015,450,676,.666
George Washington,2015,508,754,.674
Georgetown NCAA,2015,541,769,.704
Georgia NCAA,2015,572,826,.692
Georgia Southern,2015,412,616,.669
Georgia State NCAA,2015,521,719,.725
Georgia Tech,2015,363,560,.648
Gonzaga NCAA,2015,557,806,.691
Grambling,2015,380,584,.651
Grand Canyon,2015,482,674,.715
Green Bay,2015,453,705,.643
Hampton NCAA,2015,560,859,.652
Hartford,2015,333,477,.698
Harvard NCAA,2015,438,609,.719
Hawaii,2015,523,762,.686
High Point,2015,477,649,.735
Hofstra,2015,561,801,.700
Holy Cross,2015,406,568,.715
Houston,2015,391,575,.680
Houston Christian,2015,443,611,.725
Howard,2015,493,705,.699
Idaho,2015,455,642,.709
Idaho State,2015,391,601,.651
Illinois,2015,471,593,.794
Illinois State,2015,481,674,.714
Illinois-Chicago,2015,549,745,.737
Incarnate Word,2015,548,747,.734
Indiana NCAA,2015,468,651,.719
Indiana State,2015,473,674,.702
Iona,2015,538,768,.701
Iowa NCAA,2015,538,723,.744
Iowa State NCAA,2015,502,721,.696
IUPUI,2015,373,532,.701
Jackson State,2015,386,597,.647
Jacksonville,2015,453,685,.661
Jacksonville State,2015,466,651,.716
James Madison,2015,493,700,.704
Kansas NCAA,2015,610,842,.724
Kansas City,2015,502,724,.693
Kansas State,2015,495,732,.676
Kennesaw State,2015,379,518,.732
Kent State,2015,469,713,.658
Kentucky NCAA,2015,685,943,.726
La Salle,2015,444,640,.694
Lafayette NCAA,2015,421,549,.767
Lamar,2015,477,701,.680
Lehigh,2015,430,593,.725
Liberty,2015,457,650,.703
Lipscomb,2015,497,715,.695
Little Rock,2015,445,632,.704
Long Beach State,2015,436,638,.683
Long Island University,2015,473,687,.689
Longwood,2015,418,580,.721
Louisiana,2015,599,848,.706
Louisiana State NCAA,2015,450,658,.684
Louisiana Tech,2015,494,716,.690
Louisiana-Monroe,2015,416,583,.714
Louisville NCAA,2015,529,792,.668
Loyola (IL),2015,418,608,.688
Loyola (MD),2015,402,599,.671
Loyola Marymount,2015,412,580,.710
Maine,2015,321,442,.726
Manhattan NCAA,2015,573,829,.691
Marist,2015,433,619,.700
Marquette,2015,392,608,.645
Marshall,2015,412,636,.648
Maryland NCAA,2015,597,790,.756
Maryland-Baltimore County,2015,347,539,.644
Maryland-Eastern Shore,2015,512,781,.656
Massachusetts,2015,532,756,.704
Massachusetts-Lowell,2015,337,508,.663
McNeese State,2015,377,579,.651
Memphis,2015,385,578,.666
Mercer,2015,506,736,.688
Miami (FL),2015,544,729,.746
Miami (OH),2015,456,643,.709
Michigan,2015,353,468,.754
Michigan State NCAA,2015,451,714,.632
Middle Tennessee,2015,497,710,.700
Milwaukee,2015,434,589,.737
Minnesota,2015,426,634,.672
Mississippi NCAA,2015,559,723,.773
Mississippi State,2015,506,727,.696
Mississippi Valley State,2015,412,630,.654
Missouri,2015,373,560,.666
Missouri State,2015,384,525,.731
Monmouth,2015,503,697,.722
Montana,2015,417,581,.718
Montana State,2015,347,482,.720
Morehead State,2015,490,684,.716
Morgan State,2015,389,622,.625
Mount St. Mary's,2015,341,500,.682
Murray State,2015,579,831,.697
Navy,2015,344,513,.671
NC State NCAA,2015,499,727,.686
Nebraska,2015,416,588,.707
Nevada,2015,489,703,.696
Nevada-Las Vegas,2015,398,600,.663
New Hampshire,2015,423,627,.675
New Mexico,2015,401,609,.658
New Mexico State NCAA,2015,535,771,.694
New Orleans,2015,531,770,.690
Niagara,2015,460,662,.695
Nicholls State,2015,404,645,.626
NJIT,2015,473,680,.696
Norfolk State,2015,495,751,.659
North Carolina NCAA,2015,571,814,.701
North Carolina A&T,2015,431,633,.681
North Carolina Central,2015,433,632,.685
North Dakota,2015,426,628,.678
North Dakota State NCAA,2015,425,614,.692
North Florida NCAA,2015,540,747,.723
North Texas,2015,426,677,.629
Northeastern NCAA,2015,518,713,.727
Northern Arizona,2015,595,793,.750
Northern Colorado,2015,430,602,.714
Northern Illinois,2015,500,735,.680
Northern Iowa NCAA,2015,472,644,.733
Northern Kentucky,2015,333,507,.657
Northwestern,2015,349,477,.732
Northwestern State,2015,531,709,.749
Notre Dame NCAA,2015,561,756,.742
Oakland,2015,477,695,.686
Ohio,2015,357,486,.735
Ohio State NCAA,2015,471,693,.680
Oklahoma NCAA,2015,495,668,.741
Oklahoma State NCAA,2015,468,645,.726
Old Dominion,2015,394,592,.666
Omaha,2015,513,737,.696
Oral Roberts,2015,576,801,.719
Oregon NCAA,2015,466,613,.760
Oregon State,2015,397,573,.693
Pacific,2015,432,667,.648
Penn State,2015,456,656,.695
Pennsylvania,2015,334,495,.675
Pepperdine,2015,467,630,.741
Pittsburgh,2015,445,650,.685
Portland,2015,479,668,.717
Portland State,2015,444,598,.742
Prairie View,2015,390,604,.646
Presbyterian,2015,360,546,.659
Princeton,2015,468,658,.711
Providence NCAA,2015,543,768,.707
Purdue NCAA,2015,524,767,.683
Purdue Fort Wayne,2015,442,645,.685
Quinnipiac,2015,497,643,.773
Radford,2015,480,695,.691
Rhode Island,2015,532,812,.655
Rice,2015,405,548,.739
Richmond,2015,414,600,.690
Rider,2015,385,638,.603
Robert Morris NCAA,2015,485,684,.709
Rutgers,2015,372,570,.653
Sacramento State,2015,452,614,.736
Sacred Heart,2015,443,685,.647
Saint Francis (PA),2015,387,576,.672
Saint Joseph's,2015,369,600,.615
Saint Louis,2015,436,666,.655
Saint Mary's (CA),2015,412,576,.715
Saint Peter's,2015,492,745,.660
Sam Houston,2015,634,898,.706
Samford,2015,452,661,.684
San Diego,2015,434,632,.687
San Diego State NCAA,2015,437,694,.630
San Francisco,2015,446,709,.629
San Jose State,2015,310,475,.653
Santa Clara,2015,383,520,.737
Savannah State,2015,332,576,.576
Seattle,2015,407,612,.665
Seton Hall,2015,436,664,.657
Siena,2015,516,727,.710
South Alabama,2015,537,764,.703
South Carolina,2015,496,673,.737
South Carolina State,2015,369,612,.603
South Carolina Upstate,2015,413,631,.655
South Dakota,2015,475,650,.731
South Dakota State,2015,556,780,.713
South Florida,2015,344,556,.619
Southeast Missouri State,2015,414,621,.667
Southeastern Louisiana,2015,387,582,.665
Southern,2015,507,775,.654
Southern California,2015,399,629,.634
Southern Illinois,2015,468,667,.702
SIU Edwardsville,2015,391,579,.675
Southern Methodist NCAA,2015,541,770,.703
Southern Mississippi,2015,323,515,.627
Southern Utah,2015,401,599,.669
St. Bonaventure,2015,461,653,.706
St. Francis (NY),2015,549,809,.679
St. John's (NY) NCAA,2015,475,687,.691
Stanford,2015,614,846,.726
Stephen F. Austin NCAA,2015,588,799,.736
Stetson,2015,383,583,.657
Stony Brook,2015,429,647,.663
Syracuse,2015,415,629,.660
TCU,2015,517,841,.615
Temple,2015,535,765,.699
Tennessee,2015,381,551,.691
Tennessee State,2015,401,648,.619
Tennessee Tech,2015,413,609,.678
Tennessee-Martin,2015,412,582,.708
Texas NCAA,2015,486,671,.724
Texas A&M,2015,445,676,.658
Texas A&M-Corpus Christi,2015,605,881,.687
Texas Southern NCAA,2015,569,861,.661
Texas State,2015,418,606,.690
Texas Tech,2015,476,742,.642
Texas-Rio Grande Valley,2015,441,652,.676
The Citadel,2015,419,546,.767
Toledo,2015,562,757,.742
Towson,2015,522,787,.663
Troy,2015,406,612,.663
Tulane,2015,376,579,.649
Tulsa,2015,484,746,.649
UAB NCAA,2015,528,715,.738
UC Davis,2015,439,598,.734
UC Irvine NCAA,2015,370,541,.684
UC Riverside,2015,404,592,.682
UC Santa Barbara,2015,421,572,.736
UCF,2015,371,577,.643
UCLA NCAA,2015,507,750,.676
UNC Asheville,2015,449,619,.725
UNC Greensboro,2015,398,613,.649
UNC Wilmington,2015,457,677,.675
UT Arlington,2015,457,679,.673
Utah NCAA,2015,534,760,.703
Utah State,2015,389,579,.672
Utah Valley,2015,357,514,.695
UTEP,2015,497,752,.661
UTSA,2015,495,708,.699
Valparaiso NCAA,2015,456,676,.675
Vanderbilt,2015,541,764,.708
Vermont,2015,495,715,.692
Villanova NCAA,2015,596,815,.731
Virginia NCAA,2015,446,614,.726
Virginia Commonwealth NCAA,2015,524,797,.657
VMI,2015,415,607,.684
Virginia Tech,2015,357,558,.640
Wagner,2015,429,616,.696
Wake Forest,2015,479,751,.638
Washington,2015,405,593,.683
Washington State,2015,489,679,.720
Weber State,2015,511,683,.748
West Virginia NCAA,2015,571,863,.662
Western Carolina,2015,456,651,.700
Western Illinois,2015,323,463,.698
Western Kentucky,2015,451,690,.654
Western Michigan,2015,527,750,.703
Wichita State NCAA,2015,501,715,.701
William & Mary,2015,453,617,.734
Winthrop,2015,481,664,.724
Wisconsin NCAA,2015,584,765,.763
Wofford NCAA,2015,473,688,.688
Wright State,2015,365,524,.697
Abilene Christian,2016,458,653,.701
Air Force,2016,483,707,.683
Akron,2016,451,659,.684
Alabama,2016,458,712,.643
Alabama A&M,2016,439,642,.684
Alabama State,2016,426,623,.684
Albany (NY),2016,611,814,.751
Alcorn State,2016,458,676,.678
American,2016,328,471,.696
Appalachian State,2016,493,701,.703
Arizona NCAA,2016,622,863,.721
Arizona State,2016,499,726,.687
Arkansas,2016,519,748,.694
Arkansas State,2016,562,766,.734
Arkansas-Pine Bluff,2016,317,519,.611
Army,2016,455,656,.694
Auburn,2016,472,746,.633
Austin Peay NCAA,2016,627,936,.670
Ball State,2016,464,670,.693
Baylor NCAA,2016,545,752,.725
Belmont,2016,472,650,.726
Bethune-Cookman,2016,411,597,.688
Binghamton,2016,398,584,.682
Boise State,2016,535,755,.709
Boston College,2016,294,452,.650
Boston University,2016,493,688,.717
Bowling Green State,2016,499,761,.656
Bradley,2016,416,628,.662
Brigham Young,2016,571,827,.690
Brown,2016,421,600,.702
Bryant,2016,310,482,.643
Bucknell,2016,553,774,.714
Buffalo NCAA,2016,616,867,.710
Butler NCAA,2016,566,774,.731
Cal Poly,2016,423,626,.676
Cal State Bakersfield NCAA,2016,476,726,.656
Cal State Fullerton,2016,515,743,.693
Cal State Northridge,2016,527,735,.717
California NCAA,2016,529,806,.656
Campbell,2016,495,690,.717
Canisius,2016,551,744,.741
Central Arkansas,2016,457,694,.659
Central Connecticut State,2016,360,530,.679
Central Michigan,2016,437,608,.719
Charleston Southern,2016,318,512,.621
Charlotte,2016,478,685,.698
Chattanooga NCAA,2016,596,811,.735
Chicago State,2016,384,573,.670
Cincinnati NCAA,2016,464,658,.705
Clemson,2016,415,574,.723
Cleveland State,2016,365,538,.678
Coastal Carolina,2016,458,689,.665
Colgate,2016,332,488,.680
College of Charleston,2016,378,567,.667
Colorado NCAA,2016,594,808,.735
Colorado State,2016,618,861,.718
Columbia,2016,536,745,.719
Connecticut NCAA,2016,488,615,.793
Coppin State,2016,520,737,.706
Cornell,2016,353,542,.651
Creighton,2016,546,780,.700
Dartmouth,2016,436,603,.723
Davidson,2016,503,661,.761
Dayton NCAA,2016,500,749,.668
Delaware,2016,480,701,.685
Delaware State,2016,330,536,.616
Denver,2016,408,530,.770
DePaul,2016,420,618,.680
Detroit Mercy,2016,555,795,.698
Drake,2016,406,562,.722
Drexel,2016,434,634,.685
Duke NCAA,2016,626,866,.723
Duquesne,2016,482,698,.691
East Carolina,2016,432,620,.697
East Tennessee State,2016,550,774,.711
Eastern Illinois,2016,385,587,.656
Eastern Kentucky,2016,511,700,.730
Eastern Michigan,2016,616,854,.721
Eastern Washington,2016,491,719,.683
Elon,2016,396,599,.661
Evansville,2016,610,843,.724
Fairfield,2016,479,650,.737
FDU NCAA,2016,462,663,.697
Florida,2016,559,863,.648
Florida A&M,2016,407,691,.589
Florida Atlantic,2016,456,624,.731
Florida Gulf Coast NCAA,2016,501,778,.644
Florida International,2016,428,645,.664
Florida State,2016,536,771,.695
Fordham,2016,399,586,.681
Fresno State NCAA,2016,559,805,.694
Furman,2016,540,777,.695
Gardner-Webb,2016,458,701,.653
George Mason,2016,436,650,.671
George Washington,2016,646,858,.753
Georgetown,2016,529,704,.751
Georgia,2016,583,823,.708
Georgia Southern,2016,509,728,.699
Georgia State,2016,412,598,.689
Georgia Tech,2016,492,681,.722
Gonzaga NCAA,2016,537,708,.758
Grambling,2016,456,706,.646
Grand Canyon,2016,579,835,.693
Green Bay NCAA,2016,662,1007,.657
Hampton NCAA,2016,537,815,.659
Hartford,2016,463,619,.748
Harvard,2016,313,526,.595
Hawaii NCAA,2016,597,873,.684
High Point,2016,518,680,.762
Hofstra,2016,564,818,.689
Holy Cross NCAA,2016,466,678,.687
Houston,2016,467,662,.705
Houston Christian,2016,602,839,.718
Howard,2016,667,914,.730
Idaho,2016,549,774,.709
Idaho State,2016,509,700,.727
Illinois,2016,453,607,.746
Illinois State,2016,393,588,.668
Illinois-Chicago,2016,492,795,.619
Incarnate Word,2016,475,620,.766
Indiana NCAA,2016,504,688,.733
Indiana State,2016,530,765,.693
Iona NCAA,2016,463,651,.711
Iowa NCAA,2016,480,669,.717
Iowa State NCAA,2016,395,563,.702
IUPUI,2016,428,607,.705
Jackson State,2016,416,659,.631
Jacksonville,2016,434,640,.678
Jacksonville State,2016,415,567,.732
James Madison,2016,467,682,.685
Kansas NCAA,2016,601,843,.713
Kansas City,2016,447,663,.674
Kansas State,2016,549,798,.688
Kennesaw State,2016,438,625,.701
Kent State,2016,508,744,.683
Kentucky NCAA,2016,561,813,.690
La Salle,2016,348,520,.669
Lafayette,2016,381,551,.691
Lamar,2016,524,781,.671
Lehigh,2016,411,565,.727
Liberty,2016,311,434,.717
Lipscomb,2016,483,695,.695
Little Rock NCAA,2016,449,616,.729
Long Beach State,2016,534,776,.688
Long Island University,2016,557,779,.715
Longwood,2016,450,636,.708
Louisiana,2016,622,891,.698
Louisiana State,2016,569,856,.665
Louisiana Tech,2016,560,842,.665
Louisiana-Monroe,2016,454,647,.702
Louisville,2016,406,588,.690
Loyola (IL),2016,413,565,.731
Loyola (MD),2016,465,653,.712
Loyola Marymount,2016,389,536,.726
Maine,2016,401,611,.656
Manhattan,2016,485,655,.740
Marist,2016,451,615,.733
Marquette,2016,555,764,.726
Marshall,2016,472,681,.693
Maryland NCAA,2016,572,745,.768
Maryland-Baltimore County,2016,515,754,.683
Maryland-Eastern Shore,2016,459,648,.708
Massachusetts,2016,485,694,.699
Massachusetts-Lowell,2016,381,556,.685
McNeese State,2016,440,629,.700
Memphis,2016,643,890,.722
Mercer,2016,494,676,.731
Miami (FL) NCAA,2016,578,772,.749
Miami (OH),2016,471,646,.729
Michigan NCAA,2016,420,569,.738
Michigan State NCAA,2016,454,623,.729
Middle Tennessee NCAA,2016,442,718,.616
Milwaukee,2016,554,718,.772
Minnesota,2016,469,662,.708
Mississippi,2016,561,791,.709
Mississippi State,2016,398,549,.725
Mississippi Valley State,2016,462,667,.693
Missouri,2016,487,688,.708
Missouri State,2016,481,713,.675
Monmouth,2016,653,850,.768
Montana,2016,457,657,.696
Montana State,2016,410,598,.686
Morehead State,2016,557,801,.695
Morgan State,2016,460,672,.685
Mount St. Mary's,2016,416,601,.692
Murray State,2016,444,613,.724
Navy,2016,479,748,.640
NC State,2016,543,777,.699
Nebraska,2016,470,644,.730
Nevada,2016,730,992,.736
Nevada-Las Vegas,2016,555,815,.681
New Hampshire,2016,502,693,.724
New Mexico,2016,578,783,.738
New Mexico State,2016,471,696,.677
New Orleans,2016,561,816,.688
Niagara,2016,431,620,.695
Nicholls State,2016,512,782,.655
NJIT,2016,501,679,.738
Norfolk State,2016,626,808,.775
North Carolina NCAA,2016,617,826,.747
North Carolina A&T,2016,480,675,.711
North Carolina Central,2016,462,697,.663
North Dakota,2016,519,761,.682
North Dakota State,2016,423,619,.683
North Florida,2016,454,624,.728
North Texas,2016,539,838,.643
Northeastern,2016,504,704,.716
Northern Arizona,2016,436,619,.704
Northern Colorado,2016,529,727,.728
Northern Illinois,2016,541,791,.684
Northern Iowa NCAA,2016,479,633,.757
Northern Kentucky,2016,372,545,.683
Northwestern,2016,352,528,.667
Northwestern State,2016,477,623,.766
Notre Dame NCAA,2016,498,671,.742
Oakland,2016,703,913,.770
Ohio,2016,576,759,.759
Ohio State,2016,491,718,.684
Oklahoma NCAA,2016,530,734,.722
Oklahoma State,2016,477,654,.729
Old Dominion,2016,471,691,.682
Omaha,2016,621,833,.745
Oral Roberts,2016,498,665,.749
Oregon NCAA,2016,648,906,.715
Oregon State NCAA,2016,461,687,.671
Pacific,2016,388,575,.675
Penn State,2016,432,621,.696
Pennsylvania,2016,341,508,.671
Pepperdine,2016,507,754,.672
Pittsburgh NCAA,2016,516,686,.752
Portland,2016,458,633,.724
Portland State,2016,425,645,.659
Prairie View,2016,432,630,.686
Presbyterian,2016,437,615,.711
Princeton,2016,412,579,.712
Providence NCAA,2016,566,781,.725
Purdue NCAA,2016,538,723,.744
Purdue Fort Wayne,2016,483,671,.720
Quinnipiac,2016,344,532,.647
Radford,2016,352,541,.651
Rhode Island,2016,443,662,.669
Rice,2016,573,773,.741
Richmond,2016,430,652,.660
Rider,2016,435,638,.682
Robert Morris,2016,422,633,.667
Rutgers,2016,435,640,.680
Sacramento State,2016,421,627,.671
Sacred Heart,2016,478,695,.688
Saint Francis (PA),2016,460,662,.695
Saint Joseph's NCAA,2016,577,806,.716
Saint Louis,2016,459,653,.703
Saint Mary's (CA),2016,371,539,.688
Saint Peter's,2016,383,582,.658
Sam Houston,2016,535,767,.698
Samford,2016,573,798,.718
San Diego,2016,370,559,.662
San Diego State,2016,613,892,.687
San Francisco,2016,480,708,.678
San Jose State,2016,462,701,.659
Santa Clara,2016,425,592,.718
Savannah State,2016,452,686,.659
Seattle,2016,407,612,.665
Seton Hall NCAA,2016,532,808,.658
Siena,2016,586,812,.722
South Alabama,2016,503,747,.673
South Carolina,2016,603,883,.683
South Carolina State,2016,514,716,.718
South Carolina Upstate,2016,377,590,.639
South Dakota,2016,418,596,.701
South Dakota State NCAA,2016,582,783,.743
South Florida,2016,404,612,.660
Southeast Missouri State,2016,392,612,.641
Southeastern Louisiana,2016,441,694,.635
Southern NCAA,2016,505,754,.670
Southern California NCAA,2016,507,750,.676
Southern Illinois,2016,492,718,.685
SIU Edwardsville,2016,413,587,.704
Southern Methodist,2016,409,584,.700
Southern Mississippi,2016,385,540,.713
Southern Utah,2016,426,598,.712
St. Bonaventure,2016,529,684,.773
St. Francis (NY),2016,435,652,.667
St. John's (NY),2016,454,714,.636
Stanford,2016,508,742,.685
Stephen F. Austin NCAA,2016,515,701,.735
Stetson,2016,523,725,.721
Stony Brook NCAA,2016,429,637,.673
Syracuse NCAA,2016,506,736,.688
TCU,2016,554,826,.671
Temple NCAA,2016,368,538,.684
Tennessee,2016,523,721,.725
Tennessee State,2016,510,734,.695
Tennessee Tech,2016,566,762,.743
Tennessee-Martin,2016,504,711,.709
Texas NCAA,2016,495,743,.666
Texas A&M NCAA,2016,565,841,.672
Texas A&M-Corpus Christi,2016,537,728,.738
Texas Southern,2016,485,769,.631
Texas State,2016,443,658,.673
Texas Tech NCAA,2016,550,741,.742
Texas-Rio Grande Valley,2016,349,520,.671
The Citadel,2016,514,704,.730
Toledo,2016,489,655,.747
Towson,2016,566,840,.674
Troy,2016,457,713,.641
Tulane,2016,420,621,.676
Tulsa NCAA,2016,495,731,.677
UAB,2016,472,654,.722
UC Davis,2016,356,557,.639
UC Irvine,2016,511,752,.680
UC Riverside,2016,471,670,.703
UC Santa Barbara,2016,366,522,.701
UCF,2016,425,619,.687
UCLA,2016,450,651,.691
UNC Asheville NCAA,2016,561,808,.694
UNC Greensboro,2016,393,579,.679
UNC Wilmington NCAA,2016,534,760,.703
UT Arlington,2016,543,780,.696
Utah NCAA,2016,551,764,.721
Utah State,2016,413,597,.692
Utah Valley,2016,454,628,.723
UTEP,2016,539,809,.666
UTSA,2016,505,719,.702
Valparaiso,2016,556,769,.723
Vanderbilt NCAA,2016,519,747,.695
Vermont,2016,547,772,.709
Villanova NCAA,2016,599,766,.782
Virginia NCAA,2016,474,630,.752
Virginia Commonwealth NCAA,2016,499,721,.692
VMI,2016,360,498,.723
Virginia Tech,2016,672,964,.697
Wagner,2016,474,665,.713
Wake Forest,2016,514,779,.660
Washington,2016,676,932,.725
Washington State,2016,393,551,.713
Weber State NCAA,2016,555,821,.676
West Virginia NCAA,2016,654,972,.673
Western Carolina,2016,535,760,.704
Western Illinois,2016,362,502,.721
Western Kentucky,2016,537,768,.699
Western Michigan,2016,573,805,.712
Wichita State NCAA,2016,551,768,.717
William & Mary,2016,457,636,.719
Winthrop,2016,566,756,.749
Wisconsin NCAA,2016,512,728,.703
Wofford,2016,484,645,.750
Wright State,2016,431,621,.694
Abilene Christian,2017,360,543,.663
Air Force,2017,513,715,.717
Akron,2017,508,744,.683
Alabama,2017,487,746,.653
Alabama A&M,2017,411,614,.669
Alabama State,2017,404,634,.637
Albany (NY),2017,490,647,.757
Alcorn State,2017,399,612,.652
American,2017,293,474,.618
Appalachian State,2017,459,674,.681
Arizona NCAA,2017,635,830,.765
Arizona State,2017,489,653,.749
Arkansas NCAA,2017,628,825,.761
